Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
1.927	-0.184	-21.862	0.109	0.010	-0.009	7978.000
3.558	0.163	-21.343	0.113	-0.093	-0.004	7978.000
-3.486	-0.606	-21.679	0.088	-0.050	-0.015	7978.000
0.988	2.843	-16.937	0.095	-0.127	-0.039	7704.000
-6.687	-0.792	-15.496	0.101	-0.162	0.018	7704.000
-2.634	-0.501	-15.761	0.098	-0.167	-0.017	7362.000
-3.426	0.154	-17.319	0.099	-0.151	-0.023	7220.000
-2.571	-0.020	-16.946	0.089	-0.147	-0.014	7220.000
-2.740	0.021	-17.840	0.087	-0.131	-0.031	7220.000
-1.761	0.046	-16.351	0.086	-0.126	0.005	6391.000
-2.458	-0.104	-16.290	0.078	-0.143	-0.024	5987.000
-2.962	0.279	-14.930	0.083	-0.172	-0.011	5801.000
-2.688	-0.149	-15.372	0.087	-0.169	-0.013	5341.000
-3.363	-0.033	-17.264	0.089	-0.194	-0.015	4971.000
-2.759	0.145	-15.624	0.082	-0.198	-0.027	4306.000
-1.629	1.099	-16.172	0.089	-0.179	-0.032	4193.000
-2.070	0.223	-14.665	0.067	-0.176	-0.000	4193.000
-2.502	-0.234	-13.616	0.073	-0.200	-0.012	2852.000
-4.063	0.120	-13.362	0.081	-0.245	0.001	2746.000
-2.380	-0.296	-14.669	0.091	-0.223	-0.021	2746.000
-1.582	0.223	-13.754	0.064	-0.184	-0.026	2746.000
-0.862	0.374	-14.240	0.063	-0.153	-0.006	2746.000
-1.462	-0.159	-13.809	0.055	-0.169	-0.005	1179.000
-2.303	-0.261	-13.234	0.067	-0.197	-0.023	934.000
-2.275	-0.382	-14.904	0.079	-0.246	0.001	652.000
-2.309	0.505	-13.229	0.085	-0.270	-0.005	518.000
-2.247	-0.625	-16.618	0.092	-0.264	-0.016	355.000
-2.967	-0.339	-16.572	0.081	-0.285	-0.025	355.000
0.982	5.003	-9.273	0.099	-0.338	-0.021	355.000
-3.611	-1.312	-16.314	0.077	-0.258	-0.011	57.000
