Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
6.011	1.082	-20.403	0.075	0.078	0.018	382.000
2.184	-0.227	-20.871	0.053	0.121	0.017	533.000
5.480	0.274	-18.991	0.059	0.120	0.014	687.000
3.970	-0.046	-22.279	0.067	0.163	0.011	989.000
5.127	0.117	-21.269	0.073	0.172	0.014	1233.000
5.451	-0.182	-23.065	0.073	0.218	0.011	1563.000
6.681	-0.159	-22.845	0.073	0.228	0.020	1906.000
5.070	-0.551	-21.529	0.070	0.238	0.009	2265.000
5.090	-0.317	-21.947	0.073	0.234	0.019	2504.000
5.323	-0.155	-22.282	0.074	0.254	0.010	3059.000
5.722	-0.523	-23.672	0.070	0.275	0.002	3416.000
4.456	0.063	-23.111	0.073	0.260	0.030	3947.000
5.220	-0.428	-23.544	0.070	0.311	0.007	4446.000
2.534	-0.572	-23.776	0.079	0.265	-0.007	5063.000
5.572	-0.093	-22.115	0.069	0.329	0.052	5386.000
5.497	-0.151	-22.503	0.075	0.332	-0.023	5755.000
7.175	-0.332	-21.854	0.075	0.375	0.053	6087.000
4.856	-0.860	-20.202	0.076	0.301	-0.012	6438.000
5.032	-0.486	-19.371	0.071	0.294	0.028	6773.000
3.955	-0.478	-18.726	0.059	0.296	0.000	7059.000
4.433	0.249	-18.266	0.060	0.283	0.023	7155.000
2.838	-0.536	-19.751	0.057	0.315	-0.010	7428.000
3.996	0.167	-19.906	0.058	0.300	0.023	7642.000
2.501	-0.731	-20.034	0.055	0.325	0.002	7768.000
3.301	-1.434	-22.779	0.061	0.303	0.001	7860.000
6.966	-0.597	-17.693	0.068	0.334	0.010	7951.000
4.085	-0.298	-19.505	0.069	0.342	0.008	7991.000
3.931	-0.433	-19.171	0.066	0.288	-0.001	8000.000
3.402	-0.268	-20.307	0.059	0.296	0.005	7990.000
-2.692	-0.482	-18.883	0.061	0.249	-0.010	7941.000
1.904	0.248	-21.354	0.068	0.211	-0.005	7868.000
-9.451	-0.259	-22.021	0.070	0.255	-0.028	7805.000
