Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-2.175	0.117	-17.912	0.126	0.093	-0.011	7735.000
-3.432	-0.764	-17.537	0.117	0.156	-0.010	7418.000
-3.637	-0.193	-18.583	0.115	0.144	-0.022	7259.000
-3.090	0.236	-18.712	0.116	0.142	-0.032	6944.000
-2.197	-0.158	-17.622	0.115	0.179	0.025	6711.000
-3.097	-0.044	-20.206	0.115	0.150	-0.043	6328.000
-1.139	-0.463	-19.497	0.121	0.153	-0.023	6048.000
-0.769	-0.519	-18.178	0.117	0.144	-0.002	5782.000
-1.991	-0.302	-18.236	0.112	0.104	-0.039	5782.000
-2.873	-0.001	-17.238	0.109	0.082	-0.003	4861.000
-1.226	0.349	-17.118	0.108	0.100	0.007	4564.000
-1.878	0.287	-16.450	0.116	0.078	-0.077	3887.000
-3.031	-0.116	-15.846	0.101	0.069	0.096	3536.000
-1.890	0.368	-16.619	0.095	0.067	-0.081	2997.000
-0.878	-0.718	-16.501	0.106	0.060	-0.018	2528.000
-1.754	0.720	-16.396	0.112	0.038	0.012	2190.000
-1.351	-0.286	-17.260	0.105	0.037	-0.026	1895.000
-2.831	-0.240	-17.013	0.114	0.022	-0.028	1505.000
-3.066	-0.199	-16.684	0.102	-0.014	-0.017	1158.000
-3.226	0.414	-17.030	0.111	-0.018	-0.001	1051.000
-3.994	-0.228	-17.801	0.113	-0.013	-0.035	707.000
-2.669	0.150	-18.566	0.115	-0.018	-0.005	528.000
-2.960	-0.203	-19.723	0.121	-0.006	-0.021	358.000
-0.920	0.545	-18.877	0.125	-0.054	-0.007	358.000
-0.750	0.670	-19.282	0.126	-0.021	-0.031	94.000
-3.509	-1.121	-21.117	0.130	0.010	-0.005	39.000
-0.583	0.129	-21.074	0.137	0.036	-0.042	23.000
-1.610	-0.611	-22.313	0.141	0.049	-0.008	0.000
-0.550	-0.133	-21.347	0.135	0.049	-0.016	7.000
