Sampling fequency [Hz]:	100	x-velocity [mm/s]: 	100	Track length [mm]:	10	Cycles:	9000
Fx	Fy	Fz	Tx	Ty	Tz	x-Position
-11.201	3.005	-18.977	0.075	-0.501	-0.109	4.000
-8.719	2.676	-20.867	0.081	-0.447	-0.083	0.000
-3.839	3.170	-22.445	0.066	-0.299	-0.076	46.000
2.498	1.018	-21.947	0.109	-0.189	-0.034	46.000
0.061	-0.923	-20.704	0.130	-0.029	0.021	46.000
14.207	2.919	-23.438	0.090	0.015	0.047	386.000
16.755	2.936	-27.776	0.093	0.054	0.064	420.000
14.549	1.603	-26.075	0.116	0.052	0.054	752.000
16.318	1.461	-25.828	0.112	0.049	0.085	921.000
12.943	2.114	-25.071	0.112	0.020	0.043	1268.000
14.542	2.513	-25.036	0.112	0.031	0.050	1448.000
16.162	1.611	-26.017	0.113	0.078	0.065	1868.000
17.483	2.273	-25.809	0.108	0.134	0.075	1948.000
14.354	1.266	-23.361	0.086	0.096	0.037	2579.000
16.450	1.579	-24.139	0.108	0.125	0.076	3081.000
14.648	0.386	-24.572	0.109	0.101	0.060	3081.000
15.159	1.997	-21.714	0.095	0.168	0.043	3840.000
11.788	1.856	-22.787	0.101	0.093	0.102	3840.000
14.750	0.394	-24.299	0.111	0.155	-0.000	4978.000
10.474	1.289	-19.871	0.088	0.086	0.037	5280.000
13.714	1.368	-21.142	0.097	0.174	0.078	5686.000
13.337	2.289	-21.985	0.077	0.158	0.043	5686.000
15.012	1.041	-23.420	0.092	0.192	0.078	6358.000
14.913	1.390	-23.537	0.091	0.225	0.003	6758.000
14.684	1.715	-24.175	0.100	0.176	0.080	7015.000
13.334	1.018	-22.213	0.115	0.224	0.030	7244.000
13.150	2.077	-22.526	0.085	0.194	0.072	7297.000
14.813	1.774	-22.325	0.090	0.238	0.055	7297.000
12.819	1.315	-22.669	0.089	0.206	0.063	7764.000
18.298	5.125	-23.620	0.099	0.109	0.048	7764.000
8.967	0.287	-26.161	0.078	0.175	0.029	7925.000
10.533	2.078	-20.195	0.102	0.124	0.046	7981.000
11.016	1.771	-21.779	0.085	0.176	0.044	8000.000
8.932	1.801	-21.279	0.079	0.124	0.036	7999.000
5.156	1.382	-19.878	0.086	0.019	-0.016	7999.000
2.514	-0.311	-18.873	0.084	-0.104	-0.026	7870.000
-7.341	-0.867	-15.078	0.052	-0.125	-0.064	7787.000
-5.324	3.369	-15.880	0.063	-0.142	-0.071	7572.000
-12.014	2.218	-18.443	0.028	-0.288	-0.146	7572.000
-3.204	2.582	-8.397	0.040	-0.112	-0.060	7572.000
-0.013	0.543	-20.354	0.023	-0.108	-0.047	7004.000
-0.484	5.825	-23.417	0.030	-0.061	-0.058	6800.000
-0.097	4.207	-24.970	0.072	0.010	0.022	6800.000
4.564	5.068	-29.242	0.040	0.010	-0.017	6010.000
3.655	5.556	-18.038	0.031	0.169	-0.016	5670.000
5.102	1.794	-18.314	0.006	0.201	-0.018	5255.000
9.092	0.161	-17.909	0.017	-0.047	-0.090	4913.000
-5.266	3.200	-3.322	-0.002	-0.041	-0.067	4795.000
2.391	2.445	-16.387	-0.009	-0.125	-0.022	3869.000
-4.891	3.233	-4.202	0.022	-0.123	-0.090	3418.000
-0.815	2.812	-12.415	-0.018	-0.190	-0.050	2991.000
-1.351	3.258	-10.495	0.028	-0.236	-0.025	2991.000
-3.550	3.287	-5.874	-0.023	-0.056	-0.046	2991.000
-1.368	2.079	-12.662	0.009	-0.142	-0.080	1811.000
2.954	2.916	-18.113	0.004	-0.155	0.016	1481.000
-1.046	3.602	-20.171	0.024	-0.283	0.021	1203.000
0.193	2.735	-14.198	0.018	-0.280	-0.066	938.000
-2.429	1.035	-10.484	0.038	-0.214	-0.096	792.000
-5.067	4.450	-18.883	0.037	-0.369	0.027	572.000
-1.929	1.476	-14.899	0.013	-0.317	-0.163	340.000
-1.599	0.720	-14.293	0.026	-0.223	-0.052	229.000
-11.001	-1.476	-22.803	0.012	-0.287	-0.045	147.000
-8.514	2.913	-16.687	0.037	-0.420	-0.136	90.000
-4.560	4.184	-14.319	0.029	-0.314	-0.079	6.000
-6.131	3.462	-19.585	0.020	-0.328	-0.050	0.000
-4.911	3.104	-19.810	0.017	-0.351	-0.136	1.000
-3.903	2.979	-20.443	0.069	-0.371	-0.030	10.000
-1.035	1.724	-19.577	0.094	-0.379	-0.010	88.000
8.792	3.376	-19.613	0.046	-0.140	0.010	181.000
6.223	0.336	-22.497	0.075	-0.056	0.076	181.000
10.472	3.266	-15.599	0.086	-0.023	0.014	486.000
10.385	1.657	-18.990	0.060	-0.023	0.047	642.000
10.677	1.710	-20.038	0.076	-0.008	0.068	885.000
10.696	1.333	-20.042	0.093	-0.014	0.030	944.000
12.177	1.338	-21.234	0.084	0.015	0.040	944.000
12.840	2.070	-21.967	0.088	0.037	0.073	1713.000
11.362	1.144	-21.991	0.113	0.017	0.050	1889.000
13.800	0.970	-21.414	0.101	0.074	0.014	2258.000
11.889	1.620	-20.862	0.091	0.055	0.108	2731.000
14.768	0.704	-23.719	0.099	0.110	-0.020	2731.000
13.742	1.103	-23.731	0.119	0.065	0.052	3854.000
16.448	1.756	-25.787	0.112	0.153	0.094	4153.000
14.247	2.363	-24.183	0.111	0.186	-0.006	4682.000
16.114	1.300	-23.724	0.111	0.177	0.033	4682.000
15.193	2.177	-24.662	0.128	0.215	0.109	5680.000
13.471	2.866	-23.203	0.118	0.185	0.099	5916.000
13.824	2.126	-24.419	0.117	0.173	0.035	6128.000
15.370	1.810	-24.219	0.104	0.203	0.131	6673.000
15.847	1.000	-24.638	0.085	0.218	0.003	6951.000
13.205	0.437	-21.436	0.079	0.213	0.024	7170.000
10.800	1.105	-22.015	0.101	0.170	0.085	7170.000
12.724	2.224	-21.133	0.097	0.208	-0.001	7170.000
11.240	1.505	-21.846	0.086	0.199	0.043	7735.000
11.760	4.136	-22.630	0.086	0.185	0.065	7827.000
12.159	2.998	-17.653	0.080	0.240	-0.031	7886.000
13.676	2.463	-21.441	0.067	0.211	0.076	7886.000
13.023	1.886	-19.839	0.064	0.252	0.024	8000.000
11.065	1.760	-18.949	0.063	0.173	0.016	7998.000
7.541	2.219	-18.076	0.056	0.112	0.012	7949.000
3.365	1.347	-17.126	0.071	0.004	-0.031	7888.000
2.700	2.300	-14.355	0.096	-0.168	-0.048	7777.000
-10.137	2.819	-22.942	0.046	-0.111	-0.091	7777.000
-6.193	2.551	-12.281	0.016	-0.194	-0.133	7446.000
-8.916	2.240	-26.043	0.049	-0.159	-0.164	7446.000
-8.841	0.303	-18.825	0.042	-0.249	-0.021	7031.000
-7.000	3.615	-8.732	0.002	-0.271	-0.142	6871.000
-7.593	2.302	-10.423	0.029	-0.281	0.094	6468.000
-9.864	4.888	-11.802	0.059	-0.351	0.061	6157.000
-12.133	0.622	-1.303	0.081	-0.372	0.043	6157.000
